DATE OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex
01/14/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,16,F
03/03/2025 12:00:00 AM,Mission,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,14,M
02/05/2025 12:00:00 AM,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X
01/31/2025 12:00:00 AM,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/20/2025 12:00:00 AM,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,F
01/26/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
02/20/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/03/2025 12:00:00 AM,Harbor,BURGLARY,46,M
03/12/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/19/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/31/2025 12:00:00 AM,Devonshire,THEFT FROM PERSON - ATTEMPT,16,M
01/02/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/22/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/05/2025 12:00:00 AM,Topanga,CHILD NEGLECT (SEE 300 W.I.C.),4,F
02/27/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,67,F
02/14/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/27/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
02/06/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
